pcode,municipio,departamento,mmi,poblacion,notas,medios,ultima_nota,sin_cobertura
CO63548,Pijao,Quindio,7,5482,0,,,sí
CO27580,Río Iró,Chocó,7,5834,0,,,sí
CO17616,Risaralda,Caldas,7,10938,0,,,sí
CO27660,San José del Palmar,Chocó,7,5167,1,El Universo (1),2026-08-12T07:00:00.000Z,no
CO76670,San Pedro,Valle del Cauca,7,17862,0,,,sí
CO27745,Sipí,Chocó,7,3340,0,,,sí
CO27787,Tadó,Chocó,7,18546,0,,,sí
CO76890,Yotoco,Valle del Cauca,7,16647,0,,,sí
CO27073,Bagadó,Chocó,6.9,11712,0,,,sí
CO63111,Buenavista,Quindio,6.9,3354,0,,,sí
CO76001,Cali,Valle del Cauca,6.9,2337182,56,elpais.com.co (9) · El País (Cali) (8) · Gobernación del Valle del Cauca (8) · El Tiempo (5) · EL PAÍS (3) · Pulzo (3) · facebook.com (2) · Portafolio.co (2) · El Comercio Perú (1) · elcolombiano.com (1) · elheraldo.co (1) · RFI (1) · El Comentario (1) · AlbertoNews (1) · Visión 360 (1) · hsb noticias (1) · Diario del Sur - Noticias de hoy (1) · Infobae (1) · El Universo (1) · Revista Semana (1) · UN News (1) · Colombia Visible (1) · extra.ec (1) · eldiario.com (1),2026-09-02T18:40:52.000Z,no
CO76246,El Cairo,Valle del Cauca,6.9,6678,0,,,sí
CO27135,El Cantón del San Pablo,Chocó,6.9,6545,0,,,sí
CO27450,Medio San Juan,Chocó,6.9,11347,0,,,sí
CO17486,Neira,Caldas,6.9,21987,0,,,sí
CO27810,Unión Panamericana,Chocó,6.9,7259,0,,,sí
CO27025,Alto Baudó,Chocó,6.8,29708,0,,,sí
CO27077,Bajo Baudó,Chocó,6.8,31776,0,,,sí
CO76126,Calima,Valle del Cauca,6.8,18832,4,Gobernación del Valle del Cauca (4),2026-09-02T04:51:21.000Z,no
CO63212,Córdoba,Quindio,6.8,6150,0,,,sí
CO27250,El Litoral del San Juan,Chocó,6.8,24012,0,,,sí
CO76111,Guadalajara de Buga,Valle del Cauca,6.8,133615,0,,,sí
CO27425,Medio Atrato,Chocó,6.8,11472,0,,,sí
CO27430,Medio Baudó,Chocó,6.8,16435,0,,,sí
CO66572,Pueblo Rico,Risaralda,6.8,17099,0,,,sí
CO66045,Apía,Risaralda,6.7,12754,0,,,sí
CO76130,Candelaria,Valle del Cauca,6.7,96521,0,,,sí
CO27245,El Carmen de Atrato,Chocó,6.7,8565,0,,,sí
CO17272,Filadelfia,Caldas,6.7,11790,0,,,sí
CO76364,Jamundí,Valle del Cauca,6.7,172821,0,,,sí
CO19573,Puerto Tejada,Cauca,6.7,43024,0,,,sí
CO63302,Génova,Quindio,6.6,7975,0,,,sí
CO19300,Guachené,Cauca,6.6,20864,0,,,sí
CO76520,Palmira,Valle del Cauca,6.6,366437,0,,,sí
CO19845,Villa Rica,Cauca,6.6,22174,0,,,sí
CO76892,Yumbo,Valle del Cauca,6.6,113967,2,Gobernación del Valle del Cauca (2),2026-08-31T14:34:05.000Z,no
CO19142,Caloto,Cauca,6.5,31529,0,,,sí
CO76248,El Cerrito,Valle del Cauca,6.5,58814,1,Gobernación del Valle del Cauca (1),2026-08-26T20:21:53.000Z,no
CO76318,Guacarí,Valle del Cauca,6.5,34612,0,,,sí
CO66318,Guática,Risaralda,6.5,12608,0,,,sí
CO66456,Mistrató,Risaralda,6.5,17924,0,,,sí
CO19513,Padilla,Cauca,6.5,10371,0,,,sí
CO73124,Cajamarca,Tolima,6.4,18634,0,,,sí
CO73168,Chaparral,Tolima,6.4,51317,0,,,sí
CO76275,Florida,Valle del Cauca,6.4,59744,0,,,sí
CO76306,Ginebra,Valle del Cauca,6.4,23727,0,,,sí
CO19455,Miranda,Cauca,6.4,33352,1,Proclama del Cauca (1),2026-09-02T13:59:40.000Z,no
CO76563,Pradera,Valle del Cauca,6.4,49820,0,,,sí
CO76606,Restrepo,Valle del Cauca,6.4,15784,1,Gobernación del Valle del Cauca (1),2026-08-25T01:32:58.000Z,no
CO17614,Riosucio,Caldas,6.4,53788,0,,,sí
CO73622,Roncesvalles,Tolima,6.4,5524,0,,,sí
CO73686,Santa Isabel,Tolima,6.4,5720,0,,,sí
CO76869,Vijes,Valle del Cauca,6.4,13330,1,Gobernación del Valle del Cauca (1),2026-08-21T22:46:12.000Z,no
CO05034,Andes,Antioquia,6.3,47231,0,,,sí
CO17050,Aranzazu,Caldas,6.3,11009,0,,,sí
CO76377,La Cumbre,Valle del Cauca,6.3,16877,2,Gobernación del Valle del Cauca (2),2026-08-31T15:39:00.000Z,no
CO66594,Quinchía,Risaralda,6.3,28368,0,,,sí
CO19698,Santander de Quilichao,Cauca,6.3,117542,0,,,sí
CO05873,Vigía del Fuerte,Antioquia,6.3,10028,0,,,sí
CO05091,Betania,Antioquia,6.2,10960,0,,,sí
CO05101,Ciudad Bolívar,Antioquia,6.2,28245,2,City Tv (1) · Canal 1 En vivo (1),2024-07-19T07:00:00.000Z,no
CO19212,Corinto,Cauca,6.2,26401,0,,,sí
CO76233,Dagua,Valle del Cauca,6.2,50152,1,Gobernación del Valle del Cauca (1),2026-09-01T17:50:42.000Z,no
CO05282,Fredonia,Antioquia,6.2,26339,0,,,sí
CO73347,Herveo,Tolima,6.2,7250,0,,,sí
CO73001,Ibagué,Tolima,6.2,549432,2,Tolima Online (1) · Caracol Radio (1),2026-08-18T22:02:53.000Z,no
CO05364,Jardín,Antioquia,6.2,15878,0,,,sí
CO05368,Jericó,Antioquia,6.2,14697,0,,,sí
CO17446,Marulanda,Caldas,6.2,2609,0,,,sí
CO73461,Murillo,Tolima,6.2,4165,0,,,sí
CO27495,Nuquí,Chocó,6.2,17421,0,,,sí
CO73624,Rovira,Tolima,6.2,21712,0,,,sí
CO05789,Támesis,Antioquia,6.2,17300,0,,,sí
CO05002,Abejorral,Antioquia,6.1,21633,0,,,sí
CO73043,Anzoátegui,Tolima,6.1,10043,0,,,sí
CO19110,Buenos Aires,Cauca,6.1,33582,0,,,sí
CO05353,Hispania,Antioquia,6.1,6009,0,,,sí
CO17388,La Merced,Caldas,6.1,6083,0,,,sí
CO05390,La Pintada,Antioquia,6.1,9148,0,,,sí
CO05576,Pueblorrico,Antioquia,6.1,9347,0,,,sí
CO05679,Santa Bárbara,Antioquia,6.1,29036,0,,,sí
CO17777,Supía,Caldas,6.1,30515,0,,,sí
CO05847,Urrao,Antioquia,6.1,33053,0,,,sí
CO05856,Valparaíso,Antioquia,6.1,6949,2,La Tercera (1) · SoyChile.cl (1),2024-02-02T08:00:00.000Z,no
CO17013,Aguadas,Caldas,6,23948,0,,,sí
CO27075,Bahía Solano,Chocó,6,10712,0,,,sí
CO27099,Bojayá,Chocó,6,12922,0,,,sí
CO73152,Casabianca,Tolima,6,6341,0,,,sí
CO05148,El Carmen de Viboral,Antioquia,6,67121,0,,,sí
CO05376,La Ceja,Antioquia,6,73840,0,,,sí
CO05400,La Unión,Antioquia,6,24030,0,,,sí
CO17513,Pácora,Caldas,6,15925,0,,,sí
CO05642,Salgar,Antioquia,6,19467,0,,,sí
CO05792,Tarso,Antioquia,6,6679,0,,,sí
CO05861,Venecia,Antioquia,6,12511,0,,,sí
CO05001,Medellín,Antioquia,5.9,2745464,2,IFM Noticias (1) · hoy diario del magdalena (1),2026-08-27T22:20:19.000Z,no
CO05318,Guarne,Antioquia,5.7,61905,1,IFM Noticias (1),2026-08-17T07:00:00.000Z,no
CO17541,Pensilvania,Caldas,5.7,20456,1,La Patria (1),2026-08-28T22:11:00.000Z,no
CO73671,Saldaña,Tolima,5.7,14648,1,El Nuevo Día (Ibagué) (1),2026-09-02T18:28:05.000Z,no
CO17867,Victoria,Caldas,5.6,10739,4,Las2orillas (1) · Blu Radio (1) · elpais.com.co (1) · Canal 1 En vivo (1),2026-08-19T07:00:00.000Z,no
CO05690,Santo Domingo,Antioquia,5.4,13055,1,Pulzo (1),2026-08-14T07:00:00.000Z,no
CO25754,Soacha,Cundinamarca,5.2,883753,1,Soacha Ilustrada (1),2026-08-31T23:35:11.000Z,no
CO05315,Guadalupe,Antioquia,5.1,7102,1,Canal 44 (1),2026-08-25T21:22:07.000Z,no
CO05138,Cañasgordas,Antioquia,5,16538,1,Gobernación del Valle del Cauca (1),2026-08-31T19:48:09.000Z,no
CO41615,Rivera,Huila,5,26152,5,Noticias Caracol (1) · El Universo (1) · Diario Libre (1) · El Frente (1) · Canal 1 En vivo (1),2026-08-21T07:00:00.000Z,no
CO50370,Uribe,Meta,5,9874,1,La FM (1),2026-08-22T07:00:00.000Z,no
CO52490,Olaya Herrera,Nariño,4.9,25384,1,Infobae (1),2026-08-20T07:00:00.000Z,no
CO50573,Puerto López,Meta,4.7,31491,1,Gobernación del Valle del Cauca (1),2026-08-23T18:35:49.000Z,no
CO25862,Vergara,Cundinamarca,4.7,8085,4,RTA Noticias (1) · KCH FM (1) · Infobae (1) · Noticias RCN (1),2026-08-30T15:00:00.000Z,no
CO08001,Barranquilla,Atlántico,4.4,1355306,4,elheraldo.co (2) · Eluniversal.com.co (1) · Caracol Radio (1),2026-08-29T21:13:47.000Z,no
CO25372,Junín,Cundinamarca,4.4,6843,1,americatv.com.pe (1),2026-07-20T07:00:00.000Z,no
CO54385,La Esperanza,Norte de Santander,4.3,12776,4,Telemundo Delmarva (1) · Seattle Post-Intelligencer (1) · elsoldeyakima.com (1) · The Morning Call (1),2026-08-14T21:46:31.000Z,no
CO15001,Tunja,Boyacá,4.3,186850,1,Caracol Radio (1),2026-08-18T07:00:00.000Z,no
CO52418,Los Andes,Nariño,4.2,9322,3,Diario de Los Andes (2) · Los Andes (1),2026-08-18T20:31:51.000Z,no
CO68001,Bucaramanga,Santander,4.1,632392,1,Caracol Radio (1),2026-08-11T07:00:00.000Z,no
CO25335,Guayabetal,Cundinamarca,4.1,7674,1,El País (Cali) (1),2026-09-02T18:15:34.000Z,no
CO52001,Pasto,Nariño,4.1,395097,2,pasto.gov.co (1) · Blu Radio (1),2026-08-18T15:42:09.000Z,no
CO47001,Santa Marta,Magdalena,4.1,566367,2,"EL INFORMADOR - Santa Marta, Colombia (1) · agenciapi.co (1)",2026-08-19T07:00:00.000Z,no
CO52506,Ospina,Nariño,3.9,7024,1,Colombia.com (1),2021-09-30T07:00:00.000Z,no
CO15759,Sogamoso,Boyacá,3.8,136206,1,Caracol Radio (1),2026-08-12T07:00:00.000Z,no
